department,state,rti_section,response_days
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(j) Privacy,53.0
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(j) Privacy,51.3
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(d) Commercial,42.2
Reserve Bank of India (RBI),Delhi,Sec 8(1)(d) Commercial,36.6
Chennai Metro Water (CMWSSB),Delhi,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Tamil Nadu,Sec 7(1) Life & Liberty,2.1
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Maharashtra,Sec 6(1) General,24.8
TANGEDCO (Electricity Board),Delhi,Sec 7(1) Life & Liberty,4.0
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 7(1) Life & Liberty,8.8
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(d) Commercial,50.7
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,2.1
Employees Provident Fund Organisation (EPFO),Telangana,Sec 6(1) General,64.7
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,16.9
Greater Chennai Corporation,Maharashtra,Sec 8(1)(d) Commercial,61.2
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 7(1) Life & Liberty,2.3
Chennai Metro Water (CMWSSB),Telangana,Sec 6(1) General,30.3
TANGEDCO (Electricity Board),Delhi,Sec 7(1) Life & Liberty,3.0
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,6.8
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 7(1) Life & Liberty,5.7
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,71.6
Reserve Bank of India (RBI),Telangana,Sec 8(1)(d) Commercial,53.7
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,43.8
Southern Railway Headquarters,Maharashtra,Sec 8(1)(d) Commercial,50.9
Greater Chennai Corporation,Maharashtra,Sec 6(1) General,47.3
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,4.8
Reserve Bank of India (RBI),Telangana,Sec 8(1)(d) Commercial,33.8
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(j) Privacy,51.7
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Maharashtra,Sec 6(1) General,46.4
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(d) Commercial,73.4
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(d) Commercial,52.0
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(d) Commercial,50.5
TANGEDCO (Electricity Board),Karnataka,Sec 7(1) Life & Liberty,7.8
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(j) Privacy,51.1
Greater Chennai Corporation,Telangana,Sec 8(1)(j) Privacy,68.6
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,55.7
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 6(1) General,53.8
Southern Railway Headquarters,Telangana,Sec 6(1) General,28.1
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(j) Privacy,61.0
Tamil Nadu Police Headquarters,Delhi,Sec 6(1) General,28.0
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,55.5
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(d) Commercial,79.0
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(j) Privacy,45.0
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(j) Privacy,49.8
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(d) Commercial,53.7
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,25.8
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(j) Privacy,53.0
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(j) Privacy,60.4
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,79.2
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 6(1) General,58.3
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(j) Privacy,54.3
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(d) Commercial,50.7
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,76.3
Southern Railway Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,4.7
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(d) Commercial,82.6
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,25.5
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 6(1) General,48.2
TANGEDCO (Electricity Board),Maharashtra,Sec 6(1) General,28.2
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,27.2
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(j) Privacy,52.5
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,83.2
TANGEDCO (Electricity Board),Maharashtra,Sec 6(1) General,16.5
Southern Railway Headquarters,Telangana,Sec 6(1) General,36.8
Employees Provident Fund Organisation (EPFO),Delhi,Sec 6(1) General,63.7
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(j) Privacy,46.8
Southern Railway Headquarters,Telangana,Sec 6(1) General,39.8
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,30.2
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,13.7
Southern Railway Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 6(1) General,35.4
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(d) Commercial,51.8
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 6(1) General,31.7
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,2.7
Greater Chennai Corporation,Maharashtra,Sec 8(1)(d) Commercial,72.9
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(d) Commercial,80.9
Southern Railway Headquarters,Telangana,Sec 6(1) General,40.8
Greater Chennai Corporation,Maharashtra,Sec 7(1) Life & Liberty,5.7
Greater Chennai Corporation,Telangana,Sec 7(1) Life & Liberty,3.3
Southern Railway Headquarters,Delhi,Sec 8(1)(d) Commercial,54.3
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 6(1) General,27.4
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(j) Privacy,79.0
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,38.9
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,56.1
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Telangana,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Telangana,Sec 8(1)(j) Privacy,59.8
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,7.5
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(d) Commercial,84.6
TANGEDCO (Electricity Board),Telangana,Sec 6(1) General,28.6
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 6(1) General,58.7
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 7(1) Life & Liberty,5.4
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 6(1) General,53.8
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,47.1
Chennai Metro Water (CMWSSB),Delhi,Sec 8(1)(j) Privacy,51.5
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 6(1) General,24.6
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(j) Privacy,88.5
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 6(1) General,30.7
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 6(1) General,43.2
TANGEDCO (Electricity Board),Delhi,Sec 6(1) General,23.0
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,2.5
Chennai Metro Water (CMWSSB),Telangana,Sec 6(1) General,26.7
Southern Railway Headquarters,Telangana,Sec 7(1) Life & Liberty,5.7
Reserve Bank of India (RBI),Delhi,Sec 6(1) General,20.8
Southern Railway Headquarters,Delhi,Sec 6(1) General,44.9
Southern Railway Headquarters,Karnataka,Sec 6(1) General,43.0
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,60.0
Southern Railway Headquarters,Delhi,Sec 7(1) Life & Liberty,8.0
Southern Railway Headquarters,Delhi,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Maharashtra,Sec 6(1) General,33.4
Chennai Metro Water (CMWSSB),Telangana,Sec 6(1) General,37.1
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,71.6
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(j) Privacy,78.1
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(j) Privacy,57.4
Chennai Metro Water (CMWSSB),Karnataka,Sec 7(1) Life & Liberty,8.2
Greater Chennai Corporation,Delhi,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Delhi,Sec 7(1) Life & Liberty,3.8
Southern Railway Headquarters,Karnataka,Sec 6(1) General,37.8
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 7(1) Life & Liberty,3.3
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(d) Commercial,51.0
Reserve Bank of India (RBI),Delhi,Sec 8(1)(d) Commercial,45.8
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,84.9
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 7(1) Life & Liberty,3.3
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(d) Commercial,49.3
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(j) Privacy,56.8
Tamil Nadu Police Headquarters,Maharashtra,Sec 7(1) Life & Liberty,2.3
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 6(1) General,46.6
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(d) Commercial,55.1
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,29.7
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,9.9
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(d) Commercial,82.2
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 7(1) Life & Liberty,3.4
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 6(1) General,61.3
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(d) Commercial,55.1
TANGEDCO (Electricity Board),Delhi,Sec 6(1) General,22.5
TANGEDCO (Electricity Board),Maharashtra,Sec 7(1) Life & Liberty,9.5
Southern Railway Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,7.0
Tamil Nadu Police Headquarters,Delhi,Sec 6(1) General,32.0
Southern Railway Headquarters,Delhi,Sec 8(1)(d) Commercial,75.9
Tamil Nadu Police Headquarters,Maharashtra,Sec 6(1) General,24.4
Southern Railway Headquarters,Telangana,Sec 7(1) Life & Liberty,3.8
Chennai Metro Water (CMWSSB),Karnataka,Sec 6(1) General,33.5
TANGEDCO (Electricity Board),Karnataka,Sec 7(1) Life & Liberty,6.5
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,33.9
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(d) Commercial,42.0
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(d) Commercial,84.3
Tamil Nadu Police Headquarters,Delhi,Sec 6(1) General,39.5
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 6(1) General,26.9
Southern Railway Headquarters,Karnataka,Sec 8(1)(d) Commercial,53.5
Tamil Nadu Police Headquarters,Delhi,Sec 7(1) Life & Liberty,6.0
Reserve Bank of India (RBI),Delhi,Sec 8(1)(d) Commercial,48.1
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Telangana,Sec 6(1) General,21.9
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 6(1) General,32.2
TANGEDCO (Electricity Board),Maharashtra,Sec 7(1) Life & Liberty,3.7
Reserve Bank of India (RBI),Tamil Nadu,Sec 6(1) General,30.0
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,3.0
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,54.6
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,72.7
Reserve Bank of India (RBI),Telangana,Sec 8(1)(j) Privacy,46.9
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(d) Commercial,82.2
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(d) Commercial,66.2
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(d) Commercial,58.8
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(d) Commercial,56.2
Greater Chennai Corporation,Delhi,Sec 8(1)(d) Commercial,67.1
Reserve Bank of India (RBI),Maharashtra,Sec 7(1) Life & Liberty,15.8
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,71.0
Greater Chennai Corporation,Telangana,Sec 8(1)(d) Commercial,79.9
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(j) Privacy,53.2
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 6(1) General,53.4
Southern Railway Headquarters,Tamil Nadu,Sec 6(1) General,38.5
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(j) Privacy,68.6
Greater Chennai Corporation,Telangana,Sec 8(1)(j) Privacy,60.9
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 7(1) Life & Liberty,5.2
Reserve Bank of India (RBI),Telangana,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Delhi,Sec 8(1)(j) Privacy,34.7
Greater Chennai Corporation,Maharashtra,Sec 8(1)(j) Privacy,72.5
Reserve Bank of India (RBI),Delhi,Sec 8(1)(d) Commercial,38.7
Chennai Metro Water (CMWSSB),Telangana,Sec 7(1) Life & Liberty,2.1
Greater Chennai Corporation,Maharashtra,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Karnataka,Sec 7(1) Life & Liberty,5.9
Greater Chennai Corporation,Delhi,Sec 6(1) General,44.7
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(d) Commercial,56.9
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,5.7
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 7(1) Life & Liberty,4.4
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Delhi,Sec 6(1) General,24.5
Southern Railway Headquarters,Karnataka,Sec 6(1) General,43.7
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(j) Privacy,68.6
Reserve Bank of India (RBI),Telangana,Sec 8(1)(d) Commercial,40.7
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,43.6
Greater Chennai Corporation,Delhi,Sec 8(1)(d) Commercial,70.9
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,10.5
Greater Chennai Corporation,Delhi,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(j) Privacy,45.8
Greater Chennai Corporation,Karnataka,Sec 7(1) Life & Liberty,9.7
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(j) Privacy,52.7
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 6(1) General,47.8
Tamil Nadu Police Headquarters,Telangana,Sec 6(1) General,31.2
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,28.3
Greater Chennai Corporation,Telangana,Sec 8(1)(j) Privacy,65.1
Reserve Bank of India (RBI),Maharashtra,Sec 8(1)(d) Commercial,51.3
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(j) Privacy,65.5
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(d) Commercial,44.6
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,50.6
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(j) Privacy,56.4
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 6(1) General,33.7
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,6.3
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Maharashtra,Sec 8(1)(d) Commercial,63.3
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,3.3
Southern Railway Headquarters,Telangana,Sec 8(1)(j) Privacy,74.8
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,46.9
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,29.2
Reserve Bank of India (RBI),Delhi,Sec 6(1) General,23.9
Reserve Bank of India (RBI),Delhi,Sec 7(1) Life & Liberty,7.8
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(d) Commercial,57.4
Greater Chennai Corporation,Telangana,Sec 7(1) Life & Liberty,3.1
Greater Chennai Corporation,Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Telangana,Sec 7(1) Life & Liberty,3.6
Reserve Bank of India (RBI),Telangana,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,41.4
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,74.4
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(j) Privacy,43.4
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,54.1
Greater Chennai Corporation,Maharashtra,Sec 6(1) General,54.1
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,7.6
Southern Railway Headquarters,Karnataka,Sec 8(1)(j) Privacy,76.7
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(d) Commercial,55.5
Southern Railway Headquarters,Tamil Nadu,Sec 6(1) General,40.1
Greater Chennai Corporation,Tamil Nadu,Sec 6(1) General,46.7
Greater Chennai Corporation,Delhi,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Telangana,Sec 8(1)(d) Commercial,64.4
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(j) Privacy,47.6
TANGEDCO (Electricity Board),Karnataka,Sec 7(1) Life & Liberty,4.6
Greater Chennai Corporation,Maharashtra,Sec 8(1)(j) Privacy,62.1
Southern Railway Headquarters,Telangana,Sec 6(1) General,38.5
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(j) Privacy,48.6
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,76.6
Chennai Metro Water (CMWSSB),Telangana,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(j) Privacy,50.0
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 6(1) General,31.6
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,6.6
Tamil Nadu Police Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(d) Commercial,48.0
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(j) Privacy,56.3
TANGEDCO (Electricity Board),Telangana,Sec 6(1) General,29.8
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,5.7
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,14.6
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(d) Commercial,47.7
Southern Railway Headquarters,Karnataka,Sec 8(1)(j) Privacy,65.2
Tamil Nadu Police Headquarters,Delhi,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,90.2
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(d) Commercial,48.9
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,62.5
Reserve Bank of India (RBI),Karnataka,Sec 6(1) General,18.4
Chennai Metro Water (CMWSSB),Karnataka,Sec 7(1) Life & Liberty,9.2
Reserve Bank of India (RBI),Delhi,Sec 6(1) General,22.7
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(d) Commercial,92.8
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,43.2
Employees Provident Fund Organisation (EPFO),Telangana,Sec 6(1) General,49.7
Tamil Nadu Police Headquarters,Delhi,Sec 6(1) General,33.7
Greater Chennai Corporation,Telangana,Sec 8(1)(j) Privacy,72.2
TANGEDCO (Electricity Board),Maharashtra,Sec 6(1) General,33.9
Greater Chennai Corporation,Delhi,Sec 8(1)(j) Privacy,69.4
Southern Railway Headquarters,Maharashtra,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(j) Privacy,59.9
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 7(1) Life & Liberty,2.1
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(j) Privacy,77.6
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(d) Commercial,52.6
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(d) Commercial,53.8
TANGEDCO (Electricity Board),Delhi,Sec 7(1) Life & Liberty,2.9
Greater Chennai Corporation,Telangana,Sec 7(1) Life & Liberty,3.2
Reserve Bank of India (RBI),Telangana,Sec 8(1)(d) Commercial,52.9
Greater Chennai Corporation,Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,58.1
Greater Chennai Corporation,Delhi,Sec 8(1)(j) Privacy,62.9
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(d) Commercial,61.5
Southern Railway Headquarters,Maharashtra,Sec 6(1) General,43.3
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(j) Privacy,47.2
Reserve Bank of India (RBI),Telangana,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,31.0
TANGEDCO (Electricity Board),Maharashtra,Sec 6(1) General,34.2
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(j) Privacy,53.8
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(j) Privacy,44.6
Greater Chennai Corporation,Maharashtra,Sec 6(1) General,46.6
Greater Chennai Corporation,Tamil Nadu,Sec 6(1) General,49.6
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(d) Commercial,52.2
Reserve Bank of India (RBI),Delhi,Sec 7(1) Life & Liberty,3.8
Greater Chennai Corporation,Telangana,Sec 8(1)(d) Commercial,68.1
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,71.4
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,69.6
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,61.9
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(d) Commercial,75.6
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(d) Commercial,57.0
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Delhi,Sec 7(1) Life & Liberty,9.9
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 6(1) General,30.8
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(j) Privacy,53.6
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,82.0
Tamil Nadu Police Headquarters,Karnataka,Sec 6(1) General,35.4
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,30.4
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 6(1) General,52.4
Reserve Bank of India (RBI),Delhi,Sec 7(1) Life & Liberty,4.3
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,46.5
Southern Railway Headquarters,Maharashtra,Sec 8(1)(d) Commercial,67.5
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,45.7
Reserve Bank of India (RBI),Maharashtra,Sec 8(1)(d) Commercial,40.1
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(d) Commercial,60.3
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,22.0
Greater Chennai Corporation,Telangana,Sec 8(1)(j) Privacy,62.8
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,68.8
Chennai Metro Water (CMWSSB),Delhi,Sec 7(1) Life & Liberty,2.5
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(d) Commercial,61.7
Southern Railway Headquarters,Karnataka,Sec 6(1) General,37.2
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 7(1) Life & Liberty,10.0
Tamil Nadu Police Headquarters,Telangana,Sec 6(1) General,36.3
Southern Railway Headquarters,Maharashtra,Sec 8(1)(d) Commercial,63.8
TANGEDCO (Electricity Board),Maharashtra,Sec 7(1) Life & Liberty,3.4
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(j) Privacy,53.5
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,48.5
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,10.0
Southern Railway Headquarters,Telangana,Sec 6(1) General,44.0
Southern Railway Headquarters,Telangana,Sec 7(1) Life & Liberty,5.3
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,34.8
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(d) Commercial,57.5
TANGEDCO (Electricity Board),Telangana,Sec 6(1) General,28.6
Employees Provident Fund Organisation (EPFO),Telangana,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Delhi,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Maharashtra,Sec 8(1)(d) Commercial,74.3
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Maharashtra,Sec 7(1) Life & Liberty,2.1
Reserve Bank of India (RBI),Delhi,Sec 8(1)(j) Privacy,44.2
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,50.1
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(d) Commercial,50.2
